哈TV有线,#genre#
Animax(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_104_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
佛衛電視慈悲台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_105_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
八大娛樂台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_106_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
全大電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_107_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
華藝台灣台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_108_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
彰化生活台,http://58.99.33.2:1935/liveedge4/ywYSMkid_109_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
天良綜合台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_110_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
台灣蕃薯電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_111_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
富立電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_112_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
樂視台,http://58.99.33.2:1935/liveedge4/ywYSMkid_113_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
三聖電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_114_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
新天地民俗台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_115_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
紅豆2台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_116_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
威達超舜生活台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_117_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
天美麗電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_118_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
大立電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_119_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
大愛二台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_121_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
智林體育台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_122_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
國會頻道1台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_123_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
國會頻道2台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_124_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
幸福空間居家台HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_125_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
高點育樂台,http://58.99.33.2:1935/liveedge4/ywYSMkid_126_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
華視教育體育文化台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_127_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
希望綜合台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_131_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
寶島文化台,http://58.99.33.2:1935/liveedge4/ywYSMkid_132_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
NHK WORLD PREMIUM(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_135_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
唯心電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_140_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
